emoji,name,group,sub_group,codepoints,labels
😀,grinning face,Smileys & Emotion,face-smiling,1F600,"face, grinning, smiling, joy, teeth, pleasure, cheer, open eyes, open mouth"
😃,grinning face with big eyes,Smileys & Emotion,face-smiling,1F603,"face, grinning, smiling, joy, teeth, big eyes, oval eyes, open mouth"
😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling,1F604,"face, grinning, smiling, joy, laughing, smiling eyes, squinting eyes, open mouth, teeth"
😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling,1F601,"face, beaming, smiling, joy, laughing, smiling eyes, Cheese, teeth, warm, gratified, proud, amused"
😆,grinning squinting face,Smileys & Emotion,face-smiling,1F606,"face, grinning, squinting, joy, laughing, broad smile, open smile, X-shaped eyes, closed eyes, excited, hearty, mischievous, bitchy, teeth,  ><, XD"
😅,grinning face with sweat,Smileys & Emotion,face-smiling,1F605,"face, grinning, squinting, sweat, smiling, discomfort, whew, teeth"
🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling,1F923,"face, grinning, scrunched, laughing, X-shaped eyes, tilted, ROFL, tears, funny, happy, joy"
😂,face with tears of joy,Smileys & Emotion,face-smiling,1F602,"face, grinning, uplifted eyebrows, smiling, smiling eyes, funny, pleasing, tears, crying, cry laughing, happy, joy"
🙂,slightly smiling face,Smileys & Emotion,face-smiling,1F642,"face, open eyes, smiling, slightly smiling, ironic, sarcastic, thin smile, closed smile"
🙃,upside-down face,Smileys & Emotion,face-smiling,1F643,"face, open eyes, smiling, slightly smiling, ironic, sarcastic, thin smile, closed smile, upside down, flipped, joking"
😉,winking face,Smileys & Emotion,face-smiling,1F609,"face, slightly smiling, winking, flirtation, playful, affectionate"
😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling,1F60A,"face, closed smile, rosy cheeks, red cheeks, warm, genuine, smiling eyes, slightly smiling, contentment,  gratitude, peace"
😇,smiling face with halo,Smileys & Emotion,face-smiling,1F607,"face, smiling eyes, closed smile, halo, innocence, sweet, angelic, angel, prayer, blessing"
🥰,smiling face with hearts,Smileys & Emotion,face-affection,1F970,"face, smiling, hearts, rosy cheeks, red cheeks, closed smile, happy, affectionate, romantic, enamored, in love"
😍,smiling face with heart-eyes,Smileys & Emotion,face-affection,1F60D,"face, smiling, heart eyes, love, infatuation, adoration, hearts, obsessed, in love, romantic, affection"
🤩,star-struck,Smileys & Emotion,face-affection,1F929,"face, smiling, star eyes, broad smile, open smile, teeth, stars, celebrity, gold, red, amazing, fascinating, exciting, impressive"
😘,face blowing a kiss,Smileys & Emotion,face-affection,1F618,"face, blowing, kiss, winking, puckered lips, red heart, heart, goodbye, good night, love, romantic, affection, flirting, gratitude"
